fecha,acceleration_x,acceleration_y,acceleration_z,magnitud_aceleracion,anomaly_score,is_outlier
2025-01-01 00:00:45,-3.859786,5.305467,1.9464165,6.843571,222446.6205816269,1
2025-01-01 00:01:25,2.3321583,5.493579,2.100672,6.3270206,218277.8678753963,1
2025-01-01 00:01:40,-3.899981,5.8385205,2.2359965,7.3687077,220871.0381951332,1
2025-01-01 00:02:35,3.6780562,13.594316,-3.6297493,14.543335,234786.66540384293,1
2025-01-01 00:02:40,-3.518081,5.817622,-3.683011,7.732153,218437.51985239983,1
2025-01-01 00:03:45,-3.525884,9.502205,-3.2692752,10.649503,223235.6263437271,1
2025-01-01 00:04:05,3.554412,13.916022,2.3464549,14.553191,267386.3329296112,1
2025-01-01 00:04:10,3.6280797,13.539523,0.06296708,14.017332,239154.90485858917,1
2025-01-01 00:04:50,-3.6692798,5.741052,-3.4671028,7.6448736,210583.01225233078,1
2025-01-01 00:06:05,3.3700643,10.761051,-0.9161044,11.313567,232277.18818438053,1
2025-01-01 00:10:20,-3.6470947,6.105557,2.3344686,7.4852433,217092.18696808815,1
2025-01-01 00:11:05,3.6572356,13.711806,-2.7568853,14.456466,220633.900077343,1
2025-01-01 00:12:25,3.8867228,13.804197,-0.047667142,14.341017,263481.4561457634,1
2025-01-01 00:12:40,-3.705617,11.665702,2.427266,12.478454,221127.21120250225,1
2025-01-01 00:13:05,-2.599006,5.4910073,-3.6016772,7.0624413,219751.54688334465,1
2025-01-01 00:15:15,-3.73073,13.791614,1.666747,14.384192,249946.8161752224,1
2025-01-01 00:15:20,-4.136311,13.931397,1.7198592,14.633893,275974.2089059353,1
2025-01-01 00:16:25,-3.90783,8.5456085,-3.7251499,10.10818,228724.63145685196,1
2025-01-01 00:17:40,3.626277,13.235285,2.200194,13.898327,241660.8476768732,1
2025-01-01 00:18:00,-3.9720788,5.325231,2.0982225,6.966924,229451.48950481415,1
2025-01-01 00:19:00,3.3961449,13.761471,2.4264507,14.380527,256740.96745848656,1
2025-01-01 00:21:10,-4.090587,5.5805864,-3.4765046,7.743509,220521.92470741272,1
2025-01-01 00:22:20,-3.480408,13.269016,1.8653605,13.844117,222237.42445349693,1
2025-01-01 00:22:50,-4.0894184,11.333279,-0.6887504,12.068178,210932.90019631386,1
2025-01-01 00:23:45,-2.9000807,5.5324125,2.2525334,6.6401777,226161.30436205864,1
2025-01-01 00:24:10,-3.3043013,13.953103,-0.2416791,14.341057,242338.6738961935,1
2025-01-01 00:24:20,3.5054097,11.85646,-0.61029387,12.378853,216339.19044077396,1
2025-01-01 00:25:00,3.8158312,5.390334,2.4654455,7.0494466,238214.90135576023,1
2025-01-01 00:26:55,3.4679246,5.3291054,2.0925274,6.693619,224082.32002846335,1
2025-01-01 00:28:00,-3.605399,5.304454,2.185585,6.775907,231581.16093158722,1
2025-01-01 00:29:10,3.9463995,13.476268,-2.8591607,14.33034,228192.17002630234,1
2025-01-01 00:30:30,-2.760265,5.3290434,-3.5481145,6.9718633,222023.67768383026,1
2025-01-01 00:31:45,-4.0168777,8.908601,2.3521526,10.051423,231441.60833501816,1
2025-01-01 00:32:00,3.68749,14.008415,2.063151,14.63181,269607.734041214,1
2025-01-01 00:32:20,3.9591093,13.34753,1.3823342,13.990781,245694.46153056622,1
2025-01-01 00:33:00,3.8427377,13.968023,0.19819416,14.488326,264263.6837282181,1
2025-01-01 00:33:45,-4.1296344,13.981542,-3.6418278,15.026652,246469.9869966507,1
2025-01-01 00:35:25,-4.1702228,13.939671,-3.4856555,14.961784,242803.25969934464,1
2025-01-01 00:35:35,-3.7322035,14.043122,-2.8554575,14.80852,215890.10261416435,1
2025-01-01 00:37:05,3.601266,12.857152,2.4141738,13.568481,236421.13965976238,1
2025-01-01 00:37:10,-3.9491625,13.934033,1.6043893,14.571453,265229.9943931103,1
2025-01-01 00:37:35,3.9473283,13.652807,-1.924517,14.341699,228982.73446559906,1
2025-01-01 00:38:50,3.0297217,13.810028,1.797943,14.252322,225704.61292004585,1
2025-01-01 00:39:00,-3.5290635,13.177637,0.20553839,13.643558,214588.34857070446,1
2025-01-01 00:39:35,3.8369427,12.485201,-3.2753837,13.465901,210053.99461388588,1
2025-01-01 00:40:00,-3.4120646,13.961149,0.08508063,14.372303,241065.58270525932,1
2025-01-01 00:41:15,-3.9138823,13.699723,2.1810799,14.413814,266206.64182662964,1
2025-01-01 00:41:25,-3.5689244,8.347338,-3.671103,9.7924595,214012.27235221863,1
2025-01-01 00:41:30,3.3217156,13.900402,1.977549,14.427948,246605.6772186756,1
2025-01-01 00:42:00,2.5518582,13.701567,-0.60682505,13.950381,215259.086720109,1
2025-01-01 00:42:25,-2.2086,5.663369,-3.5509102,7.039931,213796.42026734352,1
2025-01-01 00:42:35,-3.799056,10.663794,1.987718,11.493491,223425.50310587883,1
2025-01-01 00:42:55,-4.1366067,10.596458,2.1601932,11.578552,243712.8143838644,1
2025-01-01 00:43:00,-3.9382973,10.253569,-3.4648798,11.517432,211485.27751207352,1
2025-01-01 00:44:30,3.4565296,13.942176,1.0337937,14.401409,241141.76469004154,1
2025-01-01 00:45:10,3.4231663,10.615042,0.02197598,11.15337,211070.83480775356,1
2025-01-01 00:45:45,3.3752089,13.963894,-1.2498696,14.420282,220274.58513379097,1
2025-01-01 00:45:55,3.7189007,13.051061,-3.3515284,13.97831,215833.48794817924,1
2025-01-01 00:46:00,3.396784,14.046858,-0.04792513,14.451805,250808.16433811188,1
2025-01-01 00:46:25,-4.02446,5.869414,-3.7561607,8.047051,227808.4507830143,1
2025-01-01 00:46:45,-2.1373537,9.322215,2.4757068,9.879327,232133.16746377945,1
2025-01-01 00:46:55,-3.8102834,13.909096,2.3452668,14.611006,274126.23094439507,1
2025-01-01 00:47:00,3.944025,13.550016,2.040174,14.259053,263364.9459965229,1
2025-01-01 00:47:05,-4.0926843,13.964078,-3.5440886,14.976851,241820.1364827156,1
2025-01-01 00:48:05,3.5797658,14.034105,-3.763254,14.964389,248442.30307340622,1
2025-01-01 00:48:35,3.9877617,13.519913,0.32243437,14.099441,252845.2165646553,1
2025-01-01 00:48:50,3.7205138,13.938419,-3.264448,14.791159,238989.0321135521,1
2025-01-01 00:49:15,-2.4763026,5.5530796,-3.6532633,7.0933137,220722.56056451797,1
2025-01-01 00:49:50,-4.1051865,5.3516607,2.2220447,7.1014304,235619.28849172592,1
2025-01-01 00:50:35,3.4247882,13.35938,1.9825038,13.933145,230312.49333822727,1
2025-01-01 00:51:20,-4.126195,9.298366,-3.7836804,10.853632,258304.78718566895,1
2025-01-01 00:53:00,3.722342,13.491112,-3.636491,14.459945,233919.34250354767,1
2025-01-01 00:53:20,3.5952382,11.986725,2.1679213,12.700677,214191.96302747726,1
2025-01-01 00:54:30,3.727537,13.673131,-3.6606343,14.637257,240057.34237909317,1
2025-01-01 00:54:45,-3.465833,13.617027,1.0859885,14.093076,223317.20330429077,1
2025-01-01 00:55:20,3.9233632,12.816008,1.7084521,13.511537,233397.64960312843,1
2025-01-01 00:56:25,3.9246833,13.883777,0.9571061,14.459545,260954.44108629227,1
2025-01-01 00:56:55,-3.6012514,13.944351,2.4920454,14.61589,270861.3478066921,1
2025-01-01 00:57:15,-4.1250477,13.496742,2.1209922,14.271534,267508.48400115967,1
2025-01-01 00:57:35,-2.5239062,13.841696,2.3606033,14.266573,219109.68070185184,1
2025-01-01 00:58:05,3.5901124,13.61707,2.0113997,14.225303,248205.80900216103,1
2025-01-01 00:59:00,-3.5565329,13.445729,2.3850176,14.111161,246387.67476832867,1
2025-01-01 00:59:10,3.2339764,5.7486277,1.9284515,6.87199,209421.21652027956,1
2025-01-01 00:59:25,3.7993152,13.656772,2.0395803,14.321386,260258.03821706772,1
2025-01-01 01:00:50,3.8527443,13.741159,-2.9930673,14.581549,233567.0381307602,1
2025-01-01 01:01:20,1.8409456,5.9537506,2.4429314,6.6935897,213654.56369134012,1
2025-01-01 01:01:55,-3.6425579,8.20798,-3.6752918,9.702934,213076.34469938278,1
2025-01-01 01:02:45,3.7665334,12.7932005,-3.5482914,13.800114,217627.01459169388,1
2025-01-01 01:04:10,3.5537858,13.652472,0.34096447,14.111543,235962.0246977806,1
2025-01-01 01:04:15,3.0349898,13.599811,-0.42510962,13.94083,225123.3911869526,1
2025-01-01 01:06:50,3.656047,14.029431,0.06296718,14.498124,259953.3988788128,1
