fecha,acceleration_x,acceleration_y,acceleration_z,magnitud_aceleracion,anomaly_score,is_outlier,cluster_id
2025-01-01 00:00:00,2.1025605,10.213203,-2.0592132,10.628765,0.0,0,0
2025-01-01 00:00:05,2.1026332,12.161409,-2.2197676,12.539868,0.0,0,0
2025-01-01 00:00:10,0.34032792,9.105401,0.73045874,9.140991,0.0,0,0
2025-01-01 00:00:15,-2.0452743,12.966037,1.7956665,13.24861,0.07790165081691779,0,16
2025-01-01 00:00:20,1.0052829,10.304436,0.94000924,10.395942,0.0,0,0
2025-01-01 00:00:25,0.5389665,13.792859,2.2817483,13.990705,0.0,0,1
2025-01-01 00:00:30,-2.1994307,6.793655,-2.6477578,7.6158953,0.0,0,0
2025-01-01 00:00:35,2.2770271,13.193182,2.060879,13.545926,0.0,0,2
2025-01-01 00:00:40,-3.7223794,10.1636915,-0.6957125,10.846232,0.1639545992615777,1,-1
2025-01-01 00:00:45,-3.859786,5.305467,1.9464165,6.843571,0.0,0,0
2025-01-01 00:00:50,-1.3441164,11.723257,0.0065424447,11.800061,0.0,0,0
2025-01-01 00:00:55,-3.737868,5.902521,-1.798596,7.2143164,0.0432241166812705,0,0
2025-01-01 00:01:00,0.73744273,6.28221,0.372647,6.336312,0.08380480633878383,0,0
2025-01-01 00:01:05,1.1717219,8.737367,-3.385994,9.443488,0.0,0,3
2025-01-01 00:01:10,-1.8679317,7.504081,-0.8012774,7.7744737,0.0,0,0
2025-01-01 00:01:15,1.4477985,11.333736,0.033586957,11.425884,0.0,0,0
2025-01-01 00:01:20,0.1550869,7.9170966,-1.8379712,8.129121,0.0,0,0
2025-01-01 00:01:25,2.3321583,5.493579,2.100672,6.3270206,0.0,0,0
2025-01-01 00:01:30,2.2460892,12.562617,-3.0358965,13.117963,0.0,0,0
2025-01-01 00:01:35,-0.7665238,6.0177608,0.92572594,6.136609,0.08429958045500435,0,224
2025-01-01 00:01:40,-3.899981,5.8385205,2.2359965,7.3687077,0.0,0,0
2025-01-01 00:01:45,-3.327166,11.131733,0.29872322,11.622167,0.0,0,4
2025-01-01 00:01:50,-0.018035695,6.9503493,1.5026162,7.1109447,0.0996321662511511,0,0
2025-01-01 00:01:55,0.5440407,7.9286194,0.27556098,7.952039,0.0,0,0
2025-01-01 00:02:00,3.2888985,6.8368545,0.6060324,7.6109595,0.12993748142550018,1,-1
2025-01-01 00:02:05,-1.9026862,9.8329935,-1.2004024,10.087068,0.0,0,0
2025-01-01 00:02:10,-1.1385742,9.546201,-0.121507436,9.614628,0.0,0,0
2025-01-01 00:02:15,-1.3182704,9.950593,-1.2547325,10.115656,0.0,0,0
2025-01-01 00:02:20,2.381137,12.050394,0.17386018,12.284626,0.08819896896399117,0,0
