fecha,acceleration_x,acceleration_y,acceleration_z,anomaly_score,is_outlier
2025-01-01 00:02:35,3.6780562,13.594316,-3.6297493,0.7854022968850815,1
2025-01-01 00:02:40,-3.518081,5.817622,-3.683011,0.7060324794443917,1
2025-01-01 00:02:55,-0.8598406,5.303848,2.0442665,0.815540931518203,1
2025-01-01 00:04:05,3.554412,13.916022,2.3464549,0.8387437592938659,1
2025-01-01 00:04:50,-3.6692798,5.741052,-3.4671028,0.6934852251492577,1
2025-01-01 00:05:00,-0.039448597,5.215937,-0.5437555,0.763313638573642,1
2025-01-01 00:06:40,1.7525923,5.359976,-2.8386023,0.6787767568134305,1
2025-01-01 00:07:25,1.8543427,5.4064875,-3.6985984,0.720634817370501,1
2025-01-01 00:07:40,3.4550529,5.523726,-3.055999,0.665215082351106,1
2025-01-01 00:09:00,-3.0434995,13.094015,-3.539169,0.6832311392696023,1
2025-01-01 00:10:15,-2.367428,13.76618,-3.689966,0.736848326034937,1
2025-01-01 00:11:05,3.6572356,13.711806,-2.7568853,0.6728106420449802,1
2025-01-01 00:12:25,3.8867228,13.804197,-0.047667142,0.7248929360100075,1
2025-01-01 00:15:00,3.659579,5.585779,-3.5376189,0.7170212741357089,1
2025-01-01 00:15:15,-3.73073,13.791614,1.666747,0.6630260348429987,1
2025-01-01 00:15:20,-4.136311,13.931397,1.7198592,0.7886284030355962,1
2025-01-01 00:15:30,-2.4566636,5.2653604,-2.940918,0.7021537304466344,1
2025-01-01 00:16:25,-3.90783,8.5456085,-3.7251499,0.7221470536513014,1
2025-01-01 00:17:15,3.1376147,9.16342,-3.6062071,0.6971437930924786,1
2025-01-01 00:18:00,-3.9720788,5.325231,2.0982225,0.6739764329470161,1
2025-01-01 00:19:00,3.3961449,13.761471,2.4264507,0.7508276871683123,1
2025-01-01 00:20:20,2.7516463,5.264618,-3.2720156,0.7762936748926836,1
2025-01-01 00:21:05,-1.9175078,5.363809,-1.8779601,0.7380615043199839,1
2025-01-01 00:21:10,-4.090587,5.5805864,-3.4765046,0.755967387016164,1
2025-01-01 00:21:15,-0.77400076,13.987564,-3.1216457,0.6675995160203682,1
2025-01-01 00:23:05,3.2737012,5.4656596,-0.5288413,0.6897602882083863,1
2025-01-01 00:23:55,-3.847537,13.264614,-3.2825456,0.6679246467828026,1
2025-01-01 00:24:25,-0.38226584,5.6101847,2.4209106,0.7244844545520944,1
2025-01-01 00:24:50,2.6699758,5.23172,-3.6095939,0.8023687214243173,1
2025-01-01 00:25:00,3.8158312,5.390334,2.4654455,0.7813230743251038,1
2025-01-01 00:26:10,-3.2289922,13.832875,-3.2682352,0.7338241587978739,1
2025-01-01 00:26:20,3.9105625,7.5946913,2.0550325,0.6670258228511944,1
2025-01-01 00:26:55,3.4679246,5.3291054,2.0925274,0.6794022748351037,1
2025-01-01 00:29:10,3.9463995,13.476268,-2.8591607,0.6767604911826686,1
2025-01-01 00:30:20,0.92003477,5.3844113,0.04702923,0.7183022448502824,1
2025-01-01 00:30:30,-2.760265,5.3290434,-3.5481145,0.6792777573125316,1
2025-01-01 00:31:45,-4.0168777,8.908601,2.3521526,0.7046680798076548,1
2025-01-01 00:32:00,3.68749,14.008415,2.063151,0.8225013817520578,1
